Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9807632611683941,0.46823762132283386,0.9997645149933592
2014,0.9673764635505975,0.46129812833974165,0.999328590981257
2015,0.9453046876537137,0.44945712493764467,0.9979839490889836
2016,0.9096924413073819,0.4375520411064283,0.994232816255642
2017,0.8549361833341222,0.42772848781717415,0.9838478913060543
2018,0.7772573714174571,0.40488657338406187,0.9584863866653639
2019,0.6685418371299615,0.36862031573400184,0.9009922942943699
2020,0.5380790092536321,0.3033750732968261,0.8197767988545862
2021,0.4069957740505414,0.19599866843779407,0.7109473001332632
2022,0.28895215304191424,0.09733218370586502,0.6304734390714754
2023,0.19178959436077891,0.0413425461022919,0.578671538665656
