Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.49463743211414035,0.2512409764771976,0.7923772628139503
2014,0.4595905213615061,0.23610728002450987,0.764868852535162
2015,0.42448920451368743,0.21725327885634602,0.7325062374023857
2016,0.3910783392390738,0.19707461267041268,0.7006182458924018
2017,0.35980724249720697,0.18163179056352097,0.6632115147986252
2018,0.32981262532244426,0.16241784172813672,0.6295187517072469
2019,0.30029418291980914,0.1437381480146068,0.5863584974172437
2020,0.2728922107741538,0.1283024583747621,0.5554364897557728
2021,0.24666140906314699,0.11171685373391346,0.5231712329804586
2022,0.22261214505348842,0.09571282967365521,0.49100772601589443
2023,0.2005891752035775,0.08177449632573101,0.4592693922203562
