Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.10984890386074164,0.0004127696725138872,0.9764735819982164
2014,0.14210743509364354,0.000960147200603156,0.9689591594138031
2015,0.1828895271155486,0.0022218279255134398,0.9587659373695527
2016,0.2273579430513737,0.005144905758057566,0.946144677958489
2017,0.2799744401138943,0.012036881185115759,0.9291211437302366
2018,0.33859601745724366,0.027311559469188108,0.9092972403955704
2019,0.4048577596938404,0.060482175743856205,0.8924248545090511
2020,0.472678569892924,0.124350733976064,0.8680912645021548
2021,0.5408095763266392,0.2329897851153467,0.8546033824795927
2022,0.606647490335269,0.35552848544045174,0.8555518581156789
2023,0.6681885408657675,0.44113261822987637,0.8735771820006117
