Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,4.1052567532601567e-07,5.137199022069157e-12,0.003508142398728934
2014,2.544974907053762e-06,1.1799290454402456e-10,0.007278609964765914
2015,1.5629272024497555e-05,2.8552785409933875e-09,0.015251643304588202
2016,9.645470988981216e-05,7.139906981818565e-08,0.030503448141587848
2017,0.0005827171378735411,1.692660086293528e-06,0.06292436543425779
2018,0.003507472017815751,3.912630025547162e-05,0.12550151160612866
2019,0.02098237293266627,0.0009205136471487852,0.24015592909864675
2020,0.11534548723808419,0.017701047319238092,0.441530934553602
2021,0.4465786163358534,0.21314678116816022,0.7431366939742919
2022,0.8348695685182509,0.5823993582108054,0.9640631982993397
2023,0.9689291511285258,0.7798672877087934,0.9980492023411138
