Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.2380640923471295,0.11676835364658461,0.5195523944305311
2014,0.2067854311182441,0.0992439829551457,0.4735004010053802
2015,0.17819566478193788,0.08432811960914233,0.42662212740526617
2016,0.15330872876082458,0.07105754138404927,0.3836409230145987
2017,0.13162408011496624,0.059020700517085106,0.34122935894363987
2018,0.11282548042440169,0.0490059180083361,0.3014928691254167
2019,0.09624781394559437,0.04097612397350754,0.2636175325944112
2020,0.08197707479214392,0.03439789639226075,0.2285000577472526
2021,0.06934046636370905,0.02847483987996078,0.1968482721752553
2022,0.05853508064955832,0.023580596274904355,0.16748389386702647
2023,0.049330870329348714,0.019489380182488962,0.143075840468581
