Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.017874873232075848,7.039134410497234e-06,0.4466256020878787
2014,0.016611240123927278,1.61564302107549e-05,0.33581657130607323
2015,0.0156010003122527,3.426050335645419e-05,0.2460586853839835
2016,0.014255296125021598,8.302884859788056e-05,0.18711090146890055
2017,0.013206928630453262,0.0001697189694947207,0.13949390565392844
2018,0.012492512764218196,0.00033089310097231104,0.11244972557143679
2019,0.012266356824874973,0.0004785039519987085,0.0944236971273047
2020,0.012243668961683312,0.000583680949594953,0.08597908320844143
2021,0.012282005291913731,0.0005386977950859076,0.08856770171377794
2022,0.012975953745982049,0.000344742951235681,0.10336094685369343
2023,0.013195315285873569,0.0002231517750911463,0.14499306058791311
