Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.15118265476920395,0.06962875994985246,0.3842509130716378
2014,0.1658243725525308,0.07701267716254649,0.41003700490545864
2015,0.1815910179576615,0.08455216247502569,0.4347053623984117
2016,0.19854957398452347,0.09332848782139813,0.46181030600679945
2017,0.21723052458675035,0.10213531174789543,0.48423146865675726
2018,0.23740448057926133,0.11293674523347136,0.5092804822724125
2019,0.25891178795129355,0.12338858963097166,0.5368949425924157
2020,0.28128270554701557,0.13556384326811793,0.5630187439665726
2021,0.3045113587908016,0.1490327693350453,0.5894390665442896
2022,0.3294526547537,0.1625662334370156,0.6173548633625149
2023,0.3545243608135995,0.17964404622891827,0.6441577637082349
