Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.00033845945097797734,2.8635621446162448e-09,0.1579716450108726
2014,0.0011857290727197193,4.648694878602604e-08,0.24660320220397808
2015,0.00434018886404453,6.710292579303125e-07,0.3725174616027503
2016,0.015588833246095085,1.1010929263564777e-05,0.5240113284270773
2017,0.054169315905697915,0.000160376033470041,0.6897859929352854
2018,0.17399248666275097,0.002298429498009294,0.8287623998346653
2019,0.4236646196346019,0.02662371846101836,0.931461264001482
2020,0.7184585359018341,0.17611101212904548,0.9802440637237814
2021,0.9020778319260376,0.5203728539828877,0.9960680360167866
2022,0.970441373252289,0.7589582182590467,0.9995661724535837
2023,0.991686383868815,0.8683797786557282,0.99996237596013
