Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.7131357580656945,0.5021067650754028,0.905893671642755
2014,0.6403152935196149,0.4223523053216793,0.8685157509482393
2015,0.5620801465614945,0.3466037832719382,0.8226383992832254
2016,0.4797057482531544,0.275208004472774,0.7642639952429227
2017,0.39877440704334066,0.21548524677921171,0.6986162105682111
2018,0.32312344656858427,0.16287515236046265,0.6227224332326755
2019,0.2560875791663638,0.11991183900284282,0.5495565477378637
2020,0.1993725299969944,0.08782635027215553,0.4657286254431104
2021,0.15230169840894447,0.06396227448226761,0.37972807742058295
2022,0.11478927904860986,0.0465280718635776,0.3077262194019423
2023,0.0853340794227033,0.03310938282441295,0.24425462843751858
