Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.00547191378169317,8.943994156467061e-07,0.2076139450637306
2014,0.012715220741484769,8.641664970386969e-06,0.2590578556096064
2015,0.028750692457212033,8.23262042156729e-05,0.3047843897266086
2016,0.06414938036331733,0.0008158388298051434,0.38192705027599994
2017,0.13766700995474845,0.007674942262255933,0.47131321737200743
2018,0.2690925069575797,0.06273026430314738,0.6043567205570616
2019,0.4727451604242313,0.21525605340305312,0.7804365978772408
2020,0.6863793097015789,0.35379709542881066,0.9375896454301685
2021,0.8374599882040327,0.4520879359337594,0.9913529798797301
2022,0.9243628220265594,0.530473137174322,0.9990295140570866
2023,0.9659391946209528,0.5999788417571863,0.9998974692958453
