Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.7427980987185876,0.260299820387468,0.9670303204624456
2014,0.716514037849703,0.2795865773004061,0.9533353827709561
2015,0.688803450430745,0.29970588725197256,0.9332283211346858
2016,0.6585001334785976,0.3151436071878259,0.9070514403829799
2017,0.6280400584418067,0.32926015333059133,0.876916107409194
2018,0.5965071114014746,0.32895718306713845,0.8457020205353846
2019,0.5676448259408564,0.31474423630376025,0.8231857930936215
2020,0.5371238913690519,0.2957017104999908,0.8008451016537408
2021,0.5035315738559839,0.26767460674342897,0.7842064338810689
2022,0.4713490898833077,0.2288866188761825,0.7728911074281755
2023,0.43991491112054965,0.18632677011854998,0.7691554421225278
