Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.1997736337785031,0.08555089655705747,0.4750945381604034
2014,0.24824530193538463,0.11404825375818173,0.5404797191720535
2015,0.30445093085557295,0.1479960983020758,0.6047984930734482
2016,0.3665977274660133,0.1872718308937082,0.6663806485347127
2017,0.43344969812777645,0.23527633840419732,0.723695571104804
2018,0.5031338856955132,0.28887848864983595,0.7776372274609502
2019,0.5731096642725506,0.35005915055900105,0.8197329500234944
2020,0.6400760170130289,0.40718852880657774,0.8543082361974974
2021,0.7029780086864598,0.4783873431239371,0.8867711437769731
2022,0.7589705846899094,0.5438507707525501,0.9111550108882892
2023,0.8060868580144319,0.6057668674316907,0.9317532857582289
