Species,Total_Isolates,Discordant_Count,Discordance_Rate_%
Citrobacter freundii,62,6,9.67741935483871
Enterobacter cloacae,196,8,4.081632653061225
Enterobacter hormaechi,140,36,25.714285714285715
Enterobacter spp,58,16,27.586206896551722
Escherichia coli,3662,34,0.9284543965046422
Klebsiella aerogenes,42,0,0.0
Klebsiella oxytoca,18,0,0.0
Klebsiella pneumoniae,5988,542,9.051436205744823
Morganella morganii,20,0,0.0
Proteus mirabilis,340,26,7.647058823529412
Providencia rettgeri,36,8,22.22222222222222
Providencia spp,12,0,0.0
Providencia stuartii,62,8,12.903225806451612
Pseudomonas aeruginosa,476,114,23.949579831932773
