Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.18722173239535558
Klebsiella oxytoca,0.17766994203782413
Pseudomonas aeruginosa,0.16191096955170728
Proteus mirabilis,0.1598214620474787
Providencia stuartii,0.13975136860243903
Klebsiella pneumoniae,0.13458855431421043
Enterobacter spp,0.1330555921015682
Escherichia coli,0.12828167131352086
Enterobacter cloacae,0.10539203355059193
Enterobacter hormaechi,0.06103296027555763
Providencia spp,0.04362331493105623
Klebsiella aerogenes,0.0400746438906905
Citrobacter freundii,0.037979460839029755
Morganella morganii,0.004380061527424513
