Species,Median_Probability_Gene_Presence
Morganella morganii,0.3595854644594342
Enterobacter cloacae,0.21751264351022304
Providencia rettgeri,0.21469078628041494
Klebsiella pneumoniae,0.21135368083970946
Klebsiella oxytoca,0.21070591234851227
Escherichia coli,0.20783932623949558
Klebsiella aerogenes,0.2064544170489213
Enterobacter spp,0.20584590966926433
Citrobacter freundii,0.20571498705555413
Enterobacter hormaechi,0.19721798860896517
Providencia stuartii,0.19563188449397817
Providencia spp,0.19002524047392166
Proteus mirabilis,0.1895003551214157
Pseudomonas aeruginosa,0.17267425327301575
