,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,-0.797,1.096,-2.901,1.214,0.03,0.019,1298.0,1879.0,1.0
beta_year,0.065,0.009,0.047,0.081,0.0,0.0,4910.0,2736.0,1.0
beta_gene_count,-0.252,0.93,-1.993,1.478,0.02,0.015,2181.0,2209.0,1.0
beta_key_genes[0],-0.489,0.079,-0.634,-0.339,0.002,0.001,2377.0,2713.0,1.0
beta_key_genes[1],-0.514,0.083,-0.669,-0.36,0.002,0.001,2462.0,2270.0,1.0
beta_key_genes[2],-0.526,0.086,-0.686,-0.36,0.002,0.001,2853.0,3023.0,1.0
beta_key_genes[3],-0.504,0.077,-0.65,-0.362,0.002,0.001,2327.0,2813.0,1.0
beta_key_genes[4],-0.505,0.077,-0.65,-0.359,0.002,0.001,2385.0,2647.0,1.0
sigma_species,1.676,0.381,1.002,2.353,0.009,0.006,1815.0,2754.0,1.0
sigma_gender,0.422,0.417,0.004,1.229,0.013,0.012,877.0,1775.0,1.0
sigma_age,0.395,0.194,0.103,0.735,0.005,0.006,1298.0,2234.0,1.0
sigma_source,2.36,0.384,1.655,3.069,0.01,0.006,1466.0,1967.0,1.0
sigma_specialty,0.514,0.151,0.268,0.786,0.003,0.003,2491.0,2398.0,1.0
