Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8907459740715895,0.510493824790401,0.9767837107486758
2014,0.8953516555764196,0.5180032904726944,0.9747047619531495
2015,0.9003113535231606,0.5413677826222745,0.9730183610091651
2016,0.9047826399879226,0.562632156042318,0.971934587604417
2017,0.9100583242463585,0.5820790684257273,0.9711575822948804
2018,0.9135415455995519,0.5982263645192966,0.9719065952290517
2019,0.9166464355020318,0.6044939379028809,0.973634318812638
2020,0.9196434592844942,0.6092607985037133,0.976515059708395
2021,0.9223050460822272,0.612499777808029,0.9792460759067545
2022,0.9246198525062569,0.6178841774367408,0.9820210554014726
2023,0.9275016356792847,0.6080728406037206,0.9847238453687704
