Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999999933494352,0.9995550183129456,0.9999999999999891
2014,0.9999999443830211,0.999016468637925,0.9999999999995768
2015,0.99999953410088,0.9977245036834604,0.9999999999845267
2016,0.9999961972686171,0.994641007871152,0.9999999994487746
2017,0.999968172771437,0.9874173850294816,0.9999999797576067
2018,0.9997377311897921,0.9698320029721386,0.9999992387000821
2019,0.9978213169205618,0.9210496076516881,0.999971390419952
2020,0.9825237259362214,0.812872036107205,0.9989883367412004
2021,0.87443986793197,0.4967936220614726,0.9729179057281565
2022,0.4588704087401162,0.10034451602047775,0.7660605395891888
2023,0.0865906570746369,0.005866839946128863,0.4818132717029761
