Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.36480587786902496,0.07444069361170537,0.62199164559463
2014,0.33107701612474905,0.0659642603840097,0.5875282532607119
2015,0.29941709103402275,0.05633651994636205,0.5520312253230174
2016,0.27023145617416566,0.049017398083188904,0.5128871595441923
2017,0.24213091886366483,0.04274457968871277,0.47433244031067595
2018,0.21638452477032366,0.037705344405837865,0.43639407483850184
2019,0.19196781048859232,0.03249054072091861,0.40052295523285164
2020,0.1700051572683582,0.027894615823112336,0.3650070623272412
2021,0.1502454705768819,0.024544341941292017,0.33316240303416095
2022,0.1321420706716693,0.02142884538912276,0.30177430889071744
2023,0.11572205218469744,0.01859735557010516,0.2719240413641891
