Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9989395250115028,0.7248260437000722,0.9999999940736439
2014,0.998845490348464,0.8258823066444447,0.999999974810857
2015,0.9987300410018735,0.8826185097203103,0.9999998950818433
2016,0.9986366312901302,0.9147229191690485,0.9999996201833725
2017,0.9985892035607435,0.9315656702920411,0.999998700458213
2018,0.9984481038032114,0.9380832745325204,0.9999962268809827
2019,0.9982177702292288,0.9402159058407258,0.999991483713669
2020,0.9978435567332022,0.9345201239003164,0.9999900106283919
2021,0.9971754950045224,0.917509075529371,0.9999923084944826
2022,0.9962770685030238,0.8730007769113167,0.9999950002326936
2023,0.9955148190647598,0.7281209114809989,0.9999973783712082
