Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.5440576826115372,0.14592998249951786,0.7728299300756225
2014,0.4980350035348555,0.12410263920188747,0.7396728240662819
2015,0.4520789312151502,0.10447848754853628,0.7036652533583306
2016,0.4061788581832749,0.08905162325179079,0.6603922801333143
2017,0.36160332827739416,0.07465265794074027,0.6154358763923333
2018,0.3196796088143733,0.06300601098933609,0.5740538242781741
2019,0.2804591155389553,0.05317980021006867,0.5281609373211495
2020,0.2443174853539728,0.044547451406878526,0.48329098885931493
2021,0.21135239268098693,0.03720960234916318,0.4366802440993988
2022,0.18179717692543665,0.031319467491797225,0.3942478583253013
2023,0.1554982937040328,0.02591662928541692,0.34911181196569024
