Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9993712436320508,0.8578717756700404,0.9999999971663274
2014,0.9992279817430001,0.8928700305848533,0.9999999855920192
2015,0.9990184645975556,0.9140537812583934,0.9999999378615477
2016,0.9987910059611784,0.9217498663442719,0.9999997279544964
2017,0.9985169764185221,0.9256866049966542,0.9999988928455142
2018,0.9981638700243807,0.9240070844925282,0.9999969271597136
2019,0.997637973289752,0.9092192416413727,0.9999924514549441
2020,0.9967217250215963,0.8901841558720762,0.9999896601403588
2021,0.9951772865630957,0.8430561995020228,0.9999898630633607
2022,0.992507555550545,0.7288653810902632,0.9999925636326605
2023,0.9890457998751297,0.5219512096252532,0.9999957701428795
