Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.4324457905971284,0.0958668122074574,0.6961143975704417
2014,0.4472848671374309,0.10111663511043946,0.7067795288201344
2015,0.46173863293642514,0.10815190754099419,0.7154853129249815
2016,0.4762601434858056,0.11306240886759956,0.7233825879602663
2017,0.49056835710053026,0.1192272159192291,0.734450503635129
2018,0.5048951899432428,0.12392069484933771,0.7472612764900904
2019,0.5179654086918342,0.13015205722752843,0.7571943153763325
2020,0.5321520359356606,0.13593857619535166,0.7688027424208039
2021,0.5457137509571595,0.1410566897871141,0.7798943552106585
2022,0.5586727665395657,0.14804514154977544,0.7932862973787609
2023,0.5728158978539459,0.15575068951634824,0.804380034415573
