Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9998744652631004,0.892952957584649,0.999999999949412
2014,0.9997792716296963,0.9247131273058361,0.9999999992669739
2015,0.9996299602389622,0.9402150949585039,0.9999999891622999
2016,0.9993957464321481,0.9466780888750649,0.9999998914891457
2017,0.9989499730289727,0.941929290680447,0.9999990351972026
2018,0.9981176512476246,0.9277008765689104,0.9999945526542374
2019,0.9966596802948481,0.8801151008690035,0.9999858555429854
2020,0.993142347525341,0.6863117537821679,0.9999831236445395
2021,0.9869195907231609,0.2468024616235439,0.9999859197177797
2022,0.9777172781082045,0.03588188600742204,0.9999892535804052
2023,0.9632243477797844,0.0031253906555897895,0.9999927532686399
