Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9912970680098916,5.767140329245801e-06,0.9999999990976024
2014,0.9906385404867961,6.118929532994356e-05,0.9999999917822638
2015,0.9914956400326458,0.0007782311553433136,0.9999999434114478
2016,0.9915697851965259,0.007752857825373136,0.9999995187213401
2017,0.9918445163759009,0.056349693301159916,0.9999970832338397
2018,0.9918506236521057,0.28798772139136936,0.9999893861464594
2019,0.991546611821856,0.6438439188678918,0.9999800886781207
2020,0.9915852803140648,0.7568209349368081,0.999980182868857
2021,0.992566441472386,0.5895945121350887,0.9999865467030153
2022,0.993478822675743,0.22722983125098076,0.9999966738918287
2023,0.9938658735487291,0.04422241845876731,0.9999993765730062
