Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9964025712729334,0.0041340422504954,0.999999991089473
2014,0.9965491695618833,0.023734152599001544,0.9999999648300792
2015,0.9967137170769826,0.12283180324753387,0.9999998731799207
2016,0.9970675465382705,0.3954436110390635,0.9999995349125663
2017,0.9973276948446643,0.7399211778378773,0.9999985196724469
2018,0.9976404767339668,0.8893840304336739,0.9999957055117171
2019,0.997941544384459,0.9361886340631754,0.9999924478336082
2020,0.9980906887246034,0.9475614713058205,0.9999919361505972
2021,0.9980453519108166,0.9355886017236759,0.9999957459741704
2022,0.9980677228037838,0.8911398556419341,0.9999989398716447
2023,0.9981048550347131,0.7841582267851862,0.9999997988234627
