Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9998406391038819,0.981161091717041,0.9999999945683755
2014,0.9998151715250775,0.9876885054521077,0.9999999808968905
2015,0.999781919053595,0.9907653051005714,0.9999999389364078
2016,0.9997456787060799,0.9917860080549744,0.9999998158755457
2017,0.999715416174419,0.9923389146101049,0.999999440737851
2018,0.9996670657426392,0.9925018569539261,0.9999987227463351
2019,0.9996008436646366,0.9918080631418843,0.9999977425063421
2020,0.9994933424167931,0.9897535574300532,0.9999975682300026
2021,0.999340251229976,0.9858798743012291,0.9999981340695829
2022,0.9990956212318359,0.9781303366335745,0.9999985445688426
2023,0.9987998614929274,0.9600554824732034,0.9999990646579204
