Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.18902982092602014
Klebsiella oxytoca,0.17463502874042938
Proteus mirabilis,0.16386041100616056
Pseudomonas aeruginosa,0.16320834768650122
Providencia stuartii,0.13998014376394408
Enterobacter spp,0.13781837103745342
Klebsiella pneumoniae,0.13752139087891702
Escherichia coli,0.130174509559578
Enterobacter cloacae,0.1054717954472825
Enterobacter hormaechi,0.06225603172301773
Providencia spp,0.043069306305053845
Klebsiella aerogenes,0.04248621181149847
Citrobacter freundii,0.03855499576034867
Morganella morganii,0.004662785716449216
