Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.211673845217959
Klebsiella pneumoniae,0.20519374131395154
Citrobacter freundii,0.2009474912468932
Enterobacter cloacae,0.19998682775600451
Escherichia coli,0.1925386620376865
Enterobacter spp,0.18584239415643625
Klebsiella oxytoca,0.18146768690817358
Proteus mirabilis,0.1746533699618789
Providencia stuartii,0.17281038301723725
Pseudomonas aeruginosa,0.16985343477687243
Enterobacter hormaechi,0.16384792424906192
Providencia spp,0.1620784281182841
Klebsiella aerogenes,0.15783403412399138
Morganella morganii,0.0061837821590310215
