Species,Median_Probability_Gene_Presence
Morganella morganii,0.36818354037085665
Escherichia coli,0.2190131294954456
Klebsiella aerogenes,0.2127247589886283
Citrobacter freundii,0.2115239227157804
Providencia rettgeri,0.2097772703481104
Klebsiella pneumoniae,0.20930262606044683
Enterobacter cloacae,0.20676841046335082
Enterobacter spp,0.19864827143720293
Enterobacter hormaechi,0.19658753843847035
Klebsiella oxytoca,0.1944123446321309
Providencia stuartii,0.17978397005472913
Proteus mirabilis,0.17747819984031318
Providencia spp,0.17427143589193353
Pseudomonas aeruginosa,0.17117439703826826
