Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.16842003912487752
Enterobacter spp,0.1495013672856393
Pseudomonas aeruginosa,0.13002534905943375
Citrobacter freundii,0.11685695963271582
Klebsiella aerogenes,0.11591379072784364
Providencia rettgeri,0.11525115015551662
Klebsiella pneumoniae,0.11444425278899331
Escherichia coli,0.11125994239063854
Enterobacter hormaechi,0.10904574427299484
Enterobacter cloacae,0.09561100279576804
Providencia stuartii,0.07657161217214109
Providencia spp,0.0564308721525912
Klebsiella oxytoca,0.036070600793720035
Morganella morganii,0.018845123436680895
