Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.998210617707699,0.00026967058424537784,0.9999999598111012
2014,0.9981628896958666,0.0017733648589745067,0.999999871283539
2015,0.998152652221327,0.011019676133813702,0.9999996476719233
2016,0.998115221733938,0.08177172939767917,0.9999990549091957
2017,0.9981793767613244,0.38992563851656387,0.9999977495354946
2018,0.9981728637334828,0.7378449658310704,0.9999956305099845
2019,0.9983242778823638,0.8782826879796715,0.9999931782196607
2020,0.9984700826628584,0.9026760170955338,0.9999931071183097
2021,0.9985656256233955,0.8905482124333924,0.999995490786547
2022,0.9986137246808535,0.8275651003324818,0.9999986544626647
2023,0.9987024463136343,0.7012507238098094,0.9999997193471998
