Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.997621946519369,0.012434213031218234,0.999999973735948
2014,0.9976137018848907,0.04303416049396289,0.9999999119300637
2015,0.9975474184153382,0.1276408508920032,0.9999997059898604
2016,0.9974763515182756,0.28742131698894474,0.9999992832817084
2017,0.9975832306590596,0.48688105686337524,0.9999983517776838
2018,0.9977076623806553,0.6508841020504449,0.9999963431113987
2019,0.9978884239491733,0.7915010594657538,0.9999929246277348
2020,0.9980769239402678,0.8419064521652062,0.9999919498742678
2021,0.9981407449008217,0.8479119204336574,0.9999935599831302
2022,0.9981988553920405,0.8079661461563352,0.9999966445165175
2023,0.9982767616400666,0.7243345759343464,0.9999986289668171
