Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999853808333357,0.7372725382400708,0.9999999999968469
2014,0.9999242332615388,0.6690446911252405,0.9999999998661055
2015,0.9996027368640007,0.5761569603885394,0.999999994721233
2016,0.9979441283362843,0.4500305559012677,0.9999997999518753
2017,0.9899956129032027,0.3438561847485737,0.9999940988571181
2018,0.9525055919426731,0.17057455348927408,0.9998088527035808
2019,0.809411647113214,0.06648770804711002,0.9959400759552165
2020,0.45917905376701423,0.012981171393903647,0.9530739619105272
2021,0.13687838041457653,0.001413034168490117,0.8371589735491775
2022,0.028117823433274153,7.592646590583085e-05,0.7381036009653527
2023,0.005228819811291144,2.657111652246974e-06,0.6402146573496796
