Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9659748833147023,0.4417321441315448,0.9976865565983825
2014,0.9570320106213306,0.38163318799842544,0.997050325307049
2015,0.9461501294263734,0.3236318721266391,0.9962391692015569
2016,0.9326250665565923,0.2711760124662877,0.9952071788184678
2017,0.915919390419646,0.22338635827130876,0.9938878900347192
2018,0.894775657672432,0.18402651598952402,0.9921842478658879
2019,0.869522653581049,0.15060955092386205,0.9900885476412015
2020,0.8395767692710088,0.12134421190462417,0.9873840185293296
2021,0.8040313393057609,0.09705306106496762,0.9841042290164072
2022,0.7623782505668135,0.07870163799885654,0.9800588053629173
2023,0.7166546325506133,0.06379340108653134,0.9746795320059713
