Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9974964034896736,0.0425844740883136,0.9999999403189365
2014,0.9973670287866658,0.10045334825894262,0.9999998344713775
2015,0.9972307470427021,0.2123756655696178,0.99999954237594
2016,0.9971595577277972,0.37051857242294606,0.9999987912998771
2017,0.9972041273929144,0.5193153119892889,0.9999971424994879
2018,0.9972100401362013,0.6232266256624118,0.9999940169437347
2019,0.9971017755703195,0.6731545161597888,0.9999900969840079
2020,0.997003037893037,0.7264688845108326,0.9999881319918186
2021,0.9967544832781752,0.7094872675930495,0.9999899342348304
2022,0.9966291685253905,0.6542783463607946,0.9999943475163646
2023,0.9961906953563137,0.5202167291011662,0.9999972705758449
