Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8413151320310929,0.10338005193557977,0.9902174849434281
2014,0.8097899279358665,0.09096903965748421,0.9873150128378341
2015,0.7750967504118691,0.07762365994763196,0.9831214147035918
2016,0.7353495343341583,0.06420197124553545,0.9787319232002092
2017,0.6908096486628419,0.05229027780163122,0.9723423213921868
2018,0.6453380602239824,0.04477624225033406,0.9655144827109147
2019,0.5988902778763696,0.03693904329604664,0.9571741555462722
2020,0.5477293013582697,0.02997935451400146,0.9479129253457039
2021,0.49241112251591274,0.024932064410876066,0.9359062641785058
2022,0.4381564833983753,0.020654668410213975,0.9217221328506023
2023,0.3875388723673169,0.016262222483911036,0.906523010054909
