Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9982723850769676,0.0002781090860405714,0.9999999961668107
2014,0.9980139196024743,0.001607919326626611,0.999999976627489
2015,0.997665339401934,0.010958318360933215,0.9999998734757137
2016,0.9972322177652104,0.060753935851770836,0.999999483077625
2017,0.9968781497359085,0.21791054624782483,0.9999975344990388
2018,0.9963391980707637,0.5150988056589082,0.9999924977291894
2019,0.9959256035330326,0.6467213593627121,0.9999856479197807
2020,0.9957449627992856,0.6707975285959833,0.9999830139275736
2021,0.9956072531688787,0.5368395618543113,0.9999895162428039
2022,0.9952379101253883,0.3191499228827305,0.9999962383563541
2023,0.9948538446124204,0.11782009374535318,0.9999991514780644
