Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9988889098028348,0.01978931944899419,0.9999999729833826
2014,0.9988198079987674,0.0810638026304539,0.9999999187541723
2015,0.9987394436272308,0.2515737406349408,0.9999997699511725
2016,0.9986977092490027,0.5483953604082908,0.9999993467936197
2017,0.9986835078958622,0.7738045773889926,0.9999982824492596
2018,0.9987414458394683,0.8774074871198534,0.9999968126049502
2019,0.9987260432833167,0.9026325416090466,0.9999943606425548
2020,0.9986888258594131,0.9054926464956916,0.9999942777727114
2021,0.9985931829567327,0.8858345144848646,0.9999957258942326
2022,0.998486941000251,0.8361587119620771,0.9999983488649422
2023,0.9983026316794446,0.7248312461836848,0.9999995143271758
