Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.18834619686150816
Klebsiella oxytoca,0.16973227300264399
Proteus mirabilis,0.16314261703153315
Pseudomonas aeruginosa,0.16283415222370104
Enterobacter spp,0.14204379577366827
Providencia stuartii,0.13957924167828212
Klebsiella pneumoniae,0.13591968444644625
Escherichia coli,0.1263009488278587
Enterobacter cloacae,0.10844634496293418
Enterobacter hormaechi,0.06530987556874973
Providencia spp,0.044934339294505105
Klebsiella aerogenes,0.040155833955037176
Citrobacter freundii,0.037650889623710826
Morganella morganii,0.004424501588358656
