Species,Median_Probability_Gene_Presence
Morganella morganii,0.3574542165235118
Enterobacter cloacae,0.21657153247058025
Providencia rettgeri,0.2136662244687924
Klebsiella pneumoniae,0.21087728140821088
Klebsiella oxytoca,0.2099599199990828
Escherichia coli,0.2059887511032535
Klebsiella aerogenes,0.2052363886542909
Citrobacter freundii,0.20476619363870124
Enterobacter spp,0.2046319363608539
Providencia stuartii,0.1962038615662436
Enterobacter hormaechi,0.1947957526805369
Proteus mirabilis,0.19006357690351602
Providencia spp,0.18967964115991842
Pseudomonas aeruginosa,0.17221625667803053
