Species,Median_Probability_Gene_Presence
Morganella morganii,0.3585048329795713
Enterobacter cloacae,0.21949309114472074
Providencia rettgeri,0.21469820614890087
Klebsiella pneumoniae,0.21224374034715576
Klebsiella oxytoca,0.2110384006454704
Klebsiella aerogenes,0.20792692108268612
Enterobacter spp,0.20750163548050782
Escherichia coli,0.20710717398947648
Citrobacter freundii,0.20669170683374732
Providencia stuartii,0.1985941209476868
Enterobacter hormaechi,0.1974389974277223
Providencia spp,0.1918590897793978
Proteus mirabilis,0.18916687186838588
Pseudomonas aeruginosa,0.1728833405724046
