Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.15220181356704965
Pseudomonas aeruginosa,0.1322643618963657
Enterobacter spp,0.12733740149674447
Klebsiella aerogenes,0.1258704002246085
Klebsiella pneumoniae,0.12265975919713845
Escherichia coli,0.12123038273518161
Citrobacter freundii,0.11841465317809213
Providencia rettgeri,0.11796024575123343
Enterobacter hormaechi,0.10613840772084882
Enterobacter cloacae,0.10408715839401708
Providencia stuartii,0.10338486813592775
Providencia spp,0.07654884986303115
Klebsiella oxytoca,0.06036599322613606
Morganella morganii,0.021099997183450597
