,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,4.699,1.198,2.52,6.946,0.039,0.021,954.0,1664.0,1.0
beta_year,-0.392,0.014,-0.417,-0.364,0.0,0.0,4084.0,3114.0,1.0
beta_gene_count,1.179,0.911,-0.647,2.76,0.019,0.015,2245.0,2494.0,1.0
beta_key_genes[0],-0.672,0.097,-0.851,-0.493,0.002,0.001,1561.0,2415.0,1.0
beta_key_genes[1],-0.672,0.096,-0.854,-0.497,0.003,0.002,1450.0,2077.0,1.0
beta_key_genes[2],-0.672,0.094,-0.849,-0.495,0.002,0.001,1490.0,2525.0,1.0
beta_key_genes[3],-0.599,0.099,-0.783,-0.415,0.003,0.002,1437.0,2066.0,1.0
beta_key_genes[4],-0.258,0.108,-0.456,-0.051,0.002,0.002,1999.0,2826.0,1.0
sigma_species,2.771,0.487,1.898,3.687,0.012,0.008,1573.0,2165.0,1.0
sigma_gender,0.398,0.499,0.003,1.411,0.026,0.026,429.0,663.0,1.0
sigma_age,0.647,0.222,0.298,1.06,0.006,0.005,1610.0,1949.0,1.0
sigma_source,1.703,0.313,1.159,2.297,0.009,0.005,1278.0,2142.0,1.0
sigma_specialty,0.491,0.149,0.251,0.768,0.004,0.003,1884.0,2148.0,1.0
