Species,Median_Slope_Resistance_Change_per_Year,Probability_Slope_Positive
Enterobacter hormaechi,-0.06256269418516942,0.37
Enterobacter spp,-0.07942592485055164,0.32725
Enterobacter cloacae,-0.08150065917811411,0.324
Pseudomonas aeruginosa,-0.08426227858152527,0.313
Citrobacter freundii,-0.08506790938651337,0.31925
Proteus mirabilis,-0.08720435585792269,0.30975
Klebsiella aerogenes,-0.08780635539666154,0.3125
Providencia stuartii,-0.09114929104797745,0.30325
Providencia spp,-0.09147964156330488,0.3005
Morganella morganii,-0.09345470916968576,0.296
Klebsiella oxytoca,-0.09426770026403788,0.29775
Providencia rettgeri,-0.09832365688509495,0.28875
Escherichia coli,-0.10940703290264014,0.0635
Klebsiella pneumoniae,-0.14015878794924344,0.0645
