Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9975411989908094,0.6049554382167772,0.9999804086879324
2014,0.9973349012096615,0.6884059404693395,0.9999730072172652
2015,0.9971095029881387,0.7599040202834991,0.9999630295926392
2016,0.9970252603725442,0.7963443853898597,0.9999474729595103
2017,0.9967934845164627,0.8398368197400881,0.9999281533517016
2018,0.9965921011073648,0.8561539877105349,0.9999139732432712
2019,0.9964220650924984,0.8627813218402036,0.9999076674629325
2020,0.9962973887902002,0.855618355229009,0.9998983589615185
2021,0.9959973279253308,0.8459624668834507,0.9999005271870491
2022,0.9956861831935842,0.822804060042958,0.9999135460130048
2023,0.9953111068460294,0.7872937536411828,0.9999329288748825
