Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9976569938945017,0.5258491831770125,0.9999766109977625
2014,0.9975270036850665,0.6494934665947067,0.9999643194694332
2015,0.9974064120828752,0.7400142828639418,0.9999546823647167
2016,0.9973012438433475,0.8169160531802641,0.9999424610409008
2017,0.9972583421120982,0.8598637478468684,0.9999264198854596
2018,0.9972127125739455,0.8821703034919427,0.9999105722429973
2019,0.9971111688259113,0.8925944026367931,0.9998947272549031
2020,0.9970120043363405,0.9048689435448765,0.999890548862551
2021,0.9970071841875876,0.8978122777031426,0.9998977130226093
2022,0.996885982262262,0.8836473010937339,0.9999158701710918
2023,0.9967425765931125,0.8747661514727694,0.9999357465868972
