Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9975706050195418,0.6024147643938407,0.9999733009609626
2014,0.9973991633639516,0.704826226858258,0.9999648559160442
2015,0.9972010791245699,0.7814016902661344,0.999957306907843
2016,0.9970695418313156,0.8196030473381023,0.9999421357104852
2017,0.996896965070392,0.8531144870795152,0.9999276329761306
2018,0.9967083389446514,0.8739854251303092,0.9999164421085869
2019,0.9965821477914467,0.8658855768165665,0.9999016267041855
2020,0.9963955239742248,0.8685848438313597,0.9998888976123024
2021,0.9962626994857077,0.8523580682256008,0.9998911634378224
2022,0.9959913031221946,0.8345192513266325,0.9998985981175229
2023,0.9957297494326781,0.8094299644755026,0.9999223938765883
