Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.986492937020921,0.6421324379497595,0.9984081039012529
2014,0.9849364462367101,0.621481895567766,0.9980833359326386
2015,0.98330490801779,0.6046886459036768,0.9977203830952827
2016,0.981376690324155,0.5833839876260529,0.9974291495776695
2017,0.9794919474774244,0.5629670598947293,0.9971503892734997
2018,0.9774881990379689,0.5421029850280921,0.9968166133864448
2019,0.9751804384209315,0.5249757836712617,0.9964187126397659
2020,0.972604820633268,0.48995792975447894,0.9961217555916234
2021,0.9694257543299951,0.45864041177227827,0.9957385764691723
2022,0.9659357056787545,0.43115318253028156,0.99538119617865
2023,0.9626039270506068,0.4063145605017356,0.9950447692845039
