Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9975097152766927,0.6269906422546015,0.9999754698813544
2014,0.997306672188058,0.7002234548428244,0.9999639368543782
2015,0.9971068900299542,0.764449065182777,0.9999484480972715
2016,0.9969175559546024,0.8090376116999836,0.9999300936659758
2017,0.996679524526046,0.8323571804854463,0.9999111482802722
2018,0.9963972444062394,0.848293783652265,0.999898585750721
2019,0.9961507479237957,0.8516329440936743,0.9998769860682958
2020,0.9957309522844155,0.8501778927072593,0.9998592186020784
2021,0.9953898932345777,0.8455823534751093,0.9998587247867757
2022,0.994965732870579,0.8264371592481458,0.9998880442365843
2023,0.9943878906810167,0.79495254083342,0.9998978557216707
