Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9974201661609094,0.5974506409670682,0.9999796462385143
2014,0.9971706398201848,0.6680082675981619,0.9999706427065062
2015,0.996879087532089,0.7243638696382306,0.999956093278442
2016,0.9965784370728156,0.7609925314978225,0.9999383277545504
2017,0.9962999262573647,0.7805338062071693,0.9999164965650292
2018,0.9960665742696598,0.7997525556609678,0.9998947601133407
2019,0.9956624980876819,0.8069828354633912,0.9998815024792772
2020,0.9954047882102798,0.7980943851508665,0.9998731204196237
2021,0.9950102952899673,0.7942214050322103,0.9998692383399173
2022,0.9945932287920747,0.7576055913399798,0.9998730915238269
2023,0.9940170139501046,0.7180062803533013,0.9999092499109621
