Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.996988216434499,0.8890047572752529,0.9997831040409347
2014,0.9965883755486831,0.8862454757039137,0.9997165003694284
2015,0.9961244783175844,0.8735385914475322,0.9996415943880097
2016,0.9955384053480281,0.8588364760052939,0.9995318557360608
2017,0.9948464943417821,0.844770985316746,0.9994071288531148
2018,0.9941113134615125,0.82602679093689,0.9992858078857597
2019,0.9933133054494521,0.8107923832769909,0.9991286263290428
2020,0.9923539369810493,0.7894901589273063,0.9989603263500797
2021,0.9912181895708938,0.7613492074356124,0.9988328126145126
2022,0.989740396235818,0.7338834311729155,0.9986962607485211
2023,0.9881346164324278,0.7083587792120613,0.9985284665055597
