Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.998519837672529,0.84408889078863,0.9999812784563175
2014,0.998395512870293,0.8776262447499834,0.9999732605277404
2015,0.9982683532949781,0.9011239721421328,0.9999668019738434
2016,0.9980982021363752,0.9113467588643822,0.9999569045513677
2017,0.9979538091639071,0.9133308981469462,0.9999456588386827
2018,0.9978045535962878,0.9155718914232418,0.9999346105238818
2019,0.9976923146709744,0.9139030939513083,0.9999212030028882
2020,0.9975599328842648,0.9127500055169285,0.9999160830917802
2021,0.9973422837884705,0.9094341969469458,0.9999190656270249
2022,0.9971182854068943,0.9013719838402945,0.9999167258163675
2023,0.9968453827540271,0.8858151860448326,0.9999256342796802
