Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.997565181766088,0.6899297883428599,0.9999788029590904
2014,0.9973362247311344,0.7511477955739417,0.9999688219534373
2015,0.9970674638457251,0.7890160793765134,0.999953768424868
2016,0.9968633173048982,0.8094522149685415,0.9999350013342309
2017,0.9966290767624432,0.8357467386565632,0.9999139017806553
2018,0.9962944327416002,0.8456344354413423,0.9998898380551509
2019,0.9959949520885367,0.8324766038479335,0.9998804102474084
2020,0.9955861468213876,0.8371372764132303,0.9998724723934893
2021,0.9951703039454797,0.8056121558232607,0.9998700564074043
2022,0.9946792733848671,0.7704284600656114,0.9998732385570186
2023,0.9944289714993719,0.7115986672141978,0.9998919830297719
