Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9978216276910035,0.6218232558090291,0.9999791000145456
2014,0.9976104149551563,0.7394652516894935,0.9999706116611221
2015,0.9973831548591912,0.7927998776621021,0.999956214345374
2016,0.9971012164876392,0.8375058956482244,0.9999353701804061
2017,0.996926217317095,0.8647063131737062,0.9999203438235483
2018,0.9967088935042074,0.875043503817667,0.9999034184900921
2019,0.996461056472058,0.8825569661482975,0.9998837899816886
2020,0.996248681809772,0.8728196233363661,0.9998765236025058
2021,0.9959997744774227,0.8667727819955277,0.9998727246012787
2022,0.995724460296086,0.8515513792293087,0.9998892034776033
2023,0.9953418072071296,0.8132927375163935,0.999912275598683
