Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9986933108053253,0.8610284833879628,0.9999853379453028
2014,0.998606524937531,0.8954425526136685,0.9999777765091484
2015,0.9985134192376662,0.91117164208995,0.9999700906187583
2016,0.9984074153835092,0.9227586931685011,0.9999616659648479
2017,0.9983046209049932,0.9241821725761271,0.9999492945705801
2018,0.9981940974625123,0.9301146297232722,0.9999436439153173
2019,0.998084757617976,0.9294763573310977,0.9999339797542377
2020,0.9979432318998557,0.9284135069409519,0.9999312735211194
2021,0.9978054778161773,0.9226081034208997,0.9999332971841506
2022,0.9976351419798384,0.9131769876929717,0.9999325084234817
2023,0.9974850650294214,0.8990125878262634,0.9999448978772376
