Species,Median_Probability_Gene_Presence
Morganella morganii,0.3548497016126909
Enterobacter cloacae,0.21644871082846956
Providencia rettgeri,0.21291807506469268
Klebsiella oxytoca,0.21151157379781632
Klebsiella pneumoniae,0.2109987878354576
Enterobacter spp,0.20507537250678234
Escherichia coli,0.20353949830436602
Klebsiella aerogenes,0.20348567176409993
Citrobacter freundii,0.20334928083689813
Enterobacter hormaechi,0.1924279203957141
Providencia stuartii,0.19134480511440946
Proteus mirabilis,0.18967925567946362
Providencia spp,0.187782164374289
Pseudomonas aeruginosa,0.17182775291609617
