Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.15018211792860536
Pseudomonas aeruginosa,0.13160542668002775
Enterobacter spp,0.12570964813872681
Escherichia coli,0.12042545519919079
Klebsiella aerogenes,0.12039680139288508
Klebsiella pneumoniae,0.12012516493267601
Citrobacter freundii,0.11724348666656051
Providencia rettgeri,0.11711095463862858
Enterobacter hormaechi,0.10470218205415083
Enterobacter cloacae,0.10258937107911789
Providencia stuartii,0.10071451562590837
Providencia spp,0.074282577742709
Klebsiella oxytoca,0.05935554234441394
Morganella morganii,0.020781633954303904
