Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9005775706191399,0.5101239068107433,0.9872173474228287
2014,0.9042853644792832,0.5461762844116822,0.9863496155902932
2015,0.9071539316762266,0.5767398331049562,0.9852251923043782
2016,0.9105847132945728,0.6129480214236366,0.9841718232893797
2017,0.9128152829635032,0.624298589125942,0.9835196288758666
2018,0.9151483019329072,0.6481971590570298,0.9834982067893208
2019,0.9166735330927824,0.6641271037245176,0.9836850951787053
2020,0.9188138782897075,0.666798670880112,0.9843821596429855
2021,0.9211917547023366,0.6680575296750241,0.9842319864219734
2022,0.9230370223683775,0.6689169593514979,0.9850098364500254
2023,0.9245855338343385,0.6686451489651268,0.9864838872459356
