Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9978824560363482,0.02336145522721486,0.9999999830276393
2014,0.9972179295083385,0.04736683792362692,0.9999999271679826
2015,0.9963736922872405,0.0897011150345606,0.9999996892057247
2016,0.9952062446789544,0.1696447973824753,0.9999987611075989
2017,0.9938161845023737,0.29658417550710175,0.9999945606720813
2018,0.9920979748615737,0.4591675946779323,0.9999787519832007
2019,0.9899438626767032,0.627785647205991,0.9999134651821401
2020,0.9868448627283147,0.7693737735564493,0.9996866197480923
2021,0.9829306330488077,0.8392329475961958,0.9989017310892533
2022,0.97779991822437,0.8693924618793248,0.9968393515136835
2023,0.9714716959918801,0.8448303537946737,0.9950744660657743
