Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,7.147236611322212e-05,1.869952956658495e-12,0.032816621685303006
2014,0.00047369756776112856,1.7424998566361728e-10,0.10088503279839012
2015,0.0031505771769607584,1.0506941704474464e-08,0.27387396423517885
2016,0.020512252202303537,6.861293810585401e-07,0.5823584256061869
2017,0.1178967500774257,4.4696249044383505e-05,0.8609685657569017
2018,0.45804385151059845,0.002667858660704598,0.9697747880006786
2019,0.8431302336885957,0.09089359336822404,0.9958241252539396
2020,0.9741833405012386,0.6334089094896191,0.9995660638478069
2021,0.9964554252996689,0.924391255990282,0.9999820392997658
2022,0.999505224260073,0.9815525350598776,0.9999994704769363
2023,0.9999316590895004,0.9945231530587474,0.999999989496758
