Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999998777140556,0.9993715352083661,0.9999999999999891
2014,0.9999987946552795,0.9980794282541173,0.9999999999988938
2015,0.9999877788166496,0.9940281008736616,0.9999999998969059
2016,0.9998776803053699,0.9822543678098529,0.9999999889106882
2017,0.9987943702141664,0.9418446701799685,0.9999988850346946
2018,0.9875192148098899,0.8038010609503717,0.9999164517566679
2019,0.8870624477187901,0.36166247513656186,0.9960639404939298
2020,0.44602897607035386,0.0308356762404081,0.9142203157009408
2021,0.07649338489842286,0.0007552281557661162,0.6026938560224887
2022,0.00806854697356802,1.0446543550866478e-05,0.26056881920124286
2023,0.0008113768415611276,1.02081095786193e-07,0.09069846341655337
