Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9998971707788029,0.7794999800470224,0.9999999999994447
2014,0.999549122750402,0.6629046514779873,0.9999999999646654
2015,0.9980873372088446,0.5175591660400614,0.9999999982922213
2016,0.9912718363721047,0.3436628878646396,0.9999999346054388
2017,0.964676844370167,0.18517423501949754,0.9999959534300794
2018,0.8666784039622504,0.06914476231776488,0.9998641761618355
2019,0.5930410431116422,0.020311953670265885,0.9958833980381001
2020,0.2466812931224307,0.0043669928585633585,0.9337483878359119
2021,0.06300600957103106,0.0004785829503109288,0.6564796333482774
2022,0.014037809211705166,2.0103542887612754e-05,0.3473708864086104
2023,0.0030677959918433122,7.913869540340563e-07,0.1732037634735356
