Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,4.237910119776132e-05,1.331716290853015e-13,0.0397280118833402
2014,0.00011905312453495604,9.545761163322406e-12,0.0422726793991907
2015,0.0003239261460846848,4.702317534311862e-10,0.044171073003708025
2016,0.0008923485016341804,2.7955273228253024e-08,0.05421200331408505
2017,0.002452311362308373,1.502419360061843e-06,0.07833571050899099
2018,0.007430007993888221,5.650906478973718e-05,0.13200822395627157
2019,0.025067856442380868,0.0004619329098724139,0.2656140049734524
2020,0.08235406784252812,0.0008005828716295427,0.8036418044282161
2021,0.217635081776899,0.0010917495668203011,0.9939648818963646
2022,0.4395319447866497,0.0010600772441758343,0.999896039223784
2023,0.6833405850487186,0.0010280919629211411,0.9999982736214122
